,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,best_month,worst_month,final_value,min_equity_value,valid_for_chart
long_only scaled cap15 top10 voladj3 mom3-1,103.85507930068921,0.1939189270458248,0.28328404262330575,0.684538829826312,-0.48588152359193637,0.6031746031746031,0.41614702359414835,-0.25684566442350654,104.85507930068921,0.9662737217360744,True
long_only scaled cap10 top10 voladj3 mom3-1,97.93140427295809,0.19127692728332546,0.28144588216060584,0.6796224049004708,-0.4828531777253209,0.6222222222222222,0.5243125572973555,-0.24609623854400445,98.93140427295809,0.9714873884159874,True
long_only equal top20 voladj3 mom3-1,109.32852766993241,0.1962354790049663,0.2608795314348834,0.7522072656510711,-0.4483815647608226,0.6031746031746031,0.42378385804908103,-0.24531930347015918,110.32852766993241,0.9318435299510621,True
long_only scaled cap30 top20 voladj3 mom3-1,117.92232654888042,0.19965854898013036,0.27002094906421176,0.7394187364797795,-0.4630152280166606,0.6158730158730159,0.36896574817309147,-0.23573722289270777,118.92232654888042,0.9748874685105215,True
long_only scaled cap25 top20 voladj3 mom3-1,111.98768260311734,0.1973213002051073,0.268987160029239,0.7335714469927055,-0.4624488576472038,0.6158730158730159,0.36896574817309147,-0.23573722289270777,112.98768260311734,0.9690670056336956,True
long_only scaled cap20 top20 voladj3 mom3-1,110.56514405422686,0.19674352630775283,0.2674021759984022,0.7357588829379175,-0.4563266270200078,0.6158730158730159,0.36896574817309147,-0.22852259411153056,111.56514405422686,0.9713298827614683,True
long_only scaled cap15 top20 voladj3 mom3-1,107.83022736380163,0.1956125320440365,0.2680726687865281,0.7296996479704796,-0.4598872922538847,0.6095238095238096,0.3864271067757439,-0.23147215865924553,108.83022736380163,0.979202959873069,True
long_only scaled cap10 top20 voladj3 mom3-1,107.99122756891386,0.19567986524005532,0.2703870077113515,0.7237029134511932,-0.45469772108140316,0.6126984126984127,0.4337974038690791,-0.22507539628740225,108.99122756891386,0.9897849692626464,True
long_only equal top25 voladj3 mom3-1,95.79626993320352,0.19028718268100975,0.26349179076618534,0.7221749950072063,-0.4579801136661348,0.6031746031746031,0.42694926125744254,-0.30926014431685367,96.79626993320352,0.9001681518718315,True
long_only scaled cap30 top25 voladj3 mom3-1,124.62574107326172,0.20216727188023453,0.26807285645207674,0.7541504744490082,-0.46074876089068173,0.6190476190476191,0.35551810209102047,-0.22403434389460183,125.62574107326172,0.9843027487589854,True
long_only scaled cap25 top25 voladj3 mom3-1,116.62577381522405,0.1991576585548278,0.26715911651739266,0.7454645798765478,-0.46079153809878937,0.6158730158730159,0.36251617724529595,-0.22403434389460183,117.62577381522405,0.9808858102795305,True
long_only scaled cap20 top25 voladj3 mom3-1,113.50755210803119,0.19793092467923512,0.26632204487663863,0.7432014303243935,-0.4591074489152567,0.6158730158730159,0.37305741308724055,-0.22360211030401558,114.50755210803119,0.9758688688836119,True
long_only scaled cap15 top25 voladj3 mom3-1,112.11720332517793,0.19737355789785505,0.26539624126117506,0.7436938705685012,-0.45327072550975234,0.6063492063492063,0.3863623242762848,-0.21816302831096948,113.11720332517793,0.9770135018265921,True
long_only scaled cap10 top25 voladj3 mom3-1,114.75417881299452,0.19842516815368905,0.2665916695335214,0.744303707992417,-0.45088840045271494,0.6222222222222222,0.41128733114680804,-0.21501494738580587,115.75417881299452,0.988185634533808,True
long_only equal top30 voladj3 mom3-1,88.18377573908904,0.18657885258500118,0.2603149808994917,0.716742662832147,-0.4692545302716077,0.5968253968253968,0.3951194923385547,-0.3224734679254093,89.18377573908904,0.9151819403795591,True
long_only scaled cap30 top30 voladj3 mom3-1,127.2746606434115,0.20312327510118888,0.26455207189041713,0.767800734463069,-0.45701070219724516,0.6253968253968254,0.36304945938097877,-0.2164134806525606,128.2746606434115,0.9754226742750299,True
long_only scaled cap25 top30 voladj3 mom3-1,120.67307535843497,0.200704063462678,0.264125975659464,0.7598800646606774,-0.45715516129367095,0.6190476190476191,0.3644804207242261,-0.2164134806525606,121.67307535843497,0.9690608869951873,True
long_only scaled cap20 top30 voladj3 mom3-1,115.24366697410711,0.1986178342956948,0.26346928473531167,0.7538557463927213,-0.45614669836508404,0.6222222222222222,0.37515260613143264,-0.2164134806525606,116.24366697410711,0.9696490367631369,True
long_only scaled cap15 top30 voladj3 mom3-1,113.16996404670863,0.19779619230307444,0.2627289684607038,0.7528526201809325,-0.4533141345106433,0.6158730158730159,0.3861212857674631,-0.2146842563820346,114.16996404670863,0.9678638592181714,True
long_only scaled cap10 top30 voladj3 mom3-1,120.10124815480292,0.20048860648534594,0.26371551898515705,0.7602457650458949,-0.44827496874402917,0.6158730158730159,0.40795872144135736,-0.21171619518988546,121.10124815480292,0.9714909491595278,True
long_only equal top40 voladj3 mom3-1,80.66263345009848,0.18260302605026624,0.26309246356536936,0.6940640700066869,-0.5076938661132349,0.5968253968253968,0.45201116035872585,-0.3587683054996303,81.66263345009848,0.9609348118940235,True
long_only scaled cap30 top40 voladj3 mom3-1,120.06154924845853,0.20047361215274484,0.2605310112892132,0.7694808044567134,-0.45649348988742566,0.6190476190476191,0.37388001999188136,-0.22447333498759792,121.06154924845853,0.9442233081497473,True
long_only scaled cap25 top40 voladj3 mom3-1,118.77368407415572,0.19998460033738952,0.26038116464352423,0.7680455712346903,-0.45631198024401587,0.6190476190476191,0.37388001999188136,-0.22447333498759792,119.77368407415572,0.9442233081497473,True
long_only scaled cap20 top40 voladj3 mom3-1,111.52457496968657,0.1971339777596519,0.259576269057292,0.7594453008959066,-0.4559481219583581,0.6158730158730159,0.37388001999188136,-0.22447333498759792,112.52457496968657,0.9435899050666854,True
long_only scaled cap15 top40 voladj3 mom3-1,106.97001140866686,0.19525114255332654,0.2590086176694144,0.7538403328438102,-0.454012884104799,0.6095238095238096,0.3833633946790519,-0.22447333498759792,107.97001140866686,0.9479291996644155,True
long_only scaled cap10 top40 voladj3 mom3-1,105.36115725677887,0.1945677422459242,0.2584932209599929,0.7526995931395724,-0.44813120552044483,0.6063492063492063,0.39590360754658294,-0.22452224739507104,106.36115725677887,0.9453500091263752,True
classic_long_short equal top10 voladj3 mom3-1,-0.03379905004531869,-0.0013089880002135068,0.12612611041570676,-0.0103784061515822,-0.3496562326047653,0.5206349206349207,0.19113867620064362,-0.12288082733283723,0.9662009499546813,0.7513172929188593,True
classic_long_short scaled cap30 top10 voladj3 mom3-1,-0.37608692317938763,-0.017810689238905608,0.15931889881415953,-0.11179269610494368,-0.5442655883513252,0.49206349206349204,0.17215800831912248,-0.18819933817083043,0.6239130768206124,0.460468259638668,True
