strategy_name,name,signal_type,lookback_months,skip_months,signal_family,strategy_type,top_n,weighting,max_weight,gross_exposure,volatility_lookback_months,fast_months,slow_months,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,final_value,valid_for_chart,beta_SPY,alpha_SPY,corr_SPY,info_ratio_SPY,beta_XLE,alpha_XLE,corr_XLE,info_ratio_XLE,beta_XLB,alpha_XLB,corr_XLB,info_ratio_XLB,beta_GLD,alpha_GLD,corr_GLD,info_ratio_GLD,beta_DBC,alpha_DBC,corr_DBC,info_ratio_DBC
sma_3-12 | classic_long_short | scaled cap20 | top30,sma_3-12,sma_crossover,,1,sma_crossover,classic_long_short,30,scaled,0.2,1.0,,3.0,12.0,-3092.01%,,405.86%,,-1669.79%,53.09%,-29.920,False,-3.789,-39.68%,-0.141,-0.212,-3.553,-39.39%,-0.220,-0.212,-2.514,-51.06%,-0.123,-0.213,2.083,-115.87%,0.081,-0.236,-2.918,-87.69%,-0.120,-0.224
sma_3-12 | classic_long_short | scaled cap15 | top30,sma_3-12,sma_crossover,,1,sma_crossover,classic_long_short,30,scaled,0.15,1.0,,3.0,12.0,-3053.65%,,405.86%,,-1649.66%,53.09%,-29.536,False,-3.790,-39.74%,-0.141,-0.212,-3.555,-39.43%,-0.220,-0.212,-2.514,-51.11%,-0.123,-0.213,2.085,-115.96%,0.081,-0.236,-2.920,-87.75%,-0.120,-0.224
sma_3-12 | directional_abs | equal | top10,sma_3-12,sma_crossover,,1,sma_crossover,directional_abs,10,equal,,1.0,,3.0,12.0,392.23%,6.43%,621.86%,0.010,-100.57%,55.37%,4.922,False,-5.865,-57.04%,-0.142,-0.199,-5.355,-58.09%,-0.216,-0.199,-3.796,-75.60%,-0.121,-0.200,3.208,-176.77%,0.082,-0.225,-4.410,-135.33%,-0.118,-0.223
sma_3-12 | directional_abs | scaled cap25 | top10,sma_3-12,sma_crossover,,1,sma_crossover,directional_abs,10,scaled,0.25,1.0,,3.0,12.0,1579.58%,11.66%,879.54%,0.013,-101.61%,54.40%,16.796,False,-8.140,-87.18%,-0.140,-0.200,-7.571,-87.19%,-0.216,-0.201,-5.293,-112.71%,-0.120,-0.201,4.541,-253.32%,0.082,-0.224,-6.190,-193.64%,-0.117,-0.223
sma_3-12 | directional_abs | scaled cap20 | top10,sma_3-12,sma_crossover,,1,sma_crossover,directional_abs,10,scaled,0.2,1.0,,3.0,12.0,1559.89%,11.61%,879.54%,0.013,-101.61%,54.40%,16.599,False,-8.143,-87.21%,-0.140,-0.201,-7.573,-87.22%,-0.216,-0.201,-5.294,-112.75%,-0.120,-0.201,4.540,-253.36%,0.082,-0.224,-6.194,-193.71%,-0.117,-0.224
sma_3-12 | directional_abs | scaled cap15 | top10,sma_3-12,sma_crossover,,1,sma_crossover,directional_abs,10,scaled,0.15,1.0,,3.0,12.0,1660.54%,11.86%,879.54%,0.013,-101.59%,54.07%,17.605,False,-8.151,-86.93%,-0.140,-0.200,-7.578,-86.97%,-0.216,-0.200,-5.301,-112.48%,-0.120,-0.201,4.525,-253.16%,0.081,-0.224,-6.214,-193.67%,-0.118,-0.224
sma_3-12 | directional_abs | equal | top20,sma_3-12,sma_crossover,,1,sma_crossover,directional_abs,20,equal,,1.0,,3.0,12.0,-2345.88%,,315.08%,,-401.33%,55.05%,-22.459,False,-3.110,-23.12%,-0.149,-0.200,-2.729,-24.85%,-0.217,-0.200,-2.009,-33.02%,-0.127,-0.201,1.641,-86.23%,0.082,-0.232,-2.338,-65.92%,-0.124,-0.221
sma_3-12 | directional_abs | scaled cap25 | top20,sma_3-12,sma_crossover,,1,sma_crossover,directional_abs,20,scaled,0.25,1.0,,3.0,12.0,-1923.83%,,523.92%,,-352.38%,55.05%,-18.238,False,-4.956,-46.97%,-0.143,-0.200,-4.512,-48.00%,-0.216,-0.200,-3.212,-62.62%,-0.122,-0.201,2.727,-148.12%,0.082,-0.226,-3.757,-113.04%,-0.120,-0.222
sma_3-12 | directional_abs | scaled cap20 | top20,sma_3-12,sma_crossover,,1,sma_crossover,directional_abs,20,scaled,0.2,1.0,,3.0,12.0,-1892.57%,,523.91%,,-348.06%,55.05%,-17.926,False,-4.957,-47.04%,-0.143,-0.200,-4.514,-48.06%,-0.216,-0.200,-3.213,-62.69%,-0.122,-0.201,2.728,-148.23%,0.082,-0.227,-3.760,-113.13%,-0.120,-0.222
sma_3-12 | directional_abs | scaled cap15 | top20,sma_3-12,sma_crossover,,1,sma_crossover,directional_abs,20,scaled,0.15,1.0,,3.0,12.0,-1855.21%,,523.91%,,-343.16%,55.05%,-17.552,False,-4.958,-47.13%,-0.143,-0.201,-4.516,-48.13%,-0.216,-0.201,-3.213,-62.78%,-0.122,-0.201,2.729,-148.35%,0.082,-0.227,-3.762,-113.23%,-0.120,-0.223
sma_3-12 | directional_abs | equal | top30,sma_3-12,sma_crossover,,1,sma_crossover,directional_abs,30,equal,,1.0,,3.0,12.0,-2101.50%,,213.51%,,-486.92%,55.70%,-20.015,False,-2.196,-12.69%,-0.155,-0.203,-1.876,-14.45%,-0.220,-0.203,-1.410,-19.77%,-0.131,-0.205,1.129,-56.24%,0.084,-0.237,-1.648,-42.63%,-0.129,-0.217
sma_3-12 | directional_abs | scaled cap25 | top30,sma_3-12,sma_crossover,,1,sma_crossover,directional_abs,30,scaled,0.25,1.0,,3.0,12.0,-2648.25%,,392.94%,,-529.51%,55.37%,-25.483,False,-3.783,-32.59%,-0.145,-0.201,-3.399,-33.86%,-0.217,-0.201,-2.441,-44.65%,-0.123,-0.202,2.064,-109.32%,0.083,-0.229,-2.862,-83.06%,-0.122,-0.220
sma_3-12 | directional_abs | scaled cap20 | top30,sma_3-12,sma_crossover,,1,sma_crossover,directional_abs,30,scaled,0.2,1.0,,3.0,12.0,-2646.47%,,392.94%,,-529.21%,55.37%,-25.465,False,-3.783,-32.60%,-0.145,-0.201,-3.399,-33.86%,-0.217,-0.201,-2.441,-44.65%,-0.123,-0.202,2.064,-109.32%,0.083,-0.229,-2.863,-83.06%,-0.122,-0.220
sma_3-12 | directional_abs | scaled cap15 | top30,sma_3-12,sma_crossover,,1,sma_crossover,directional_abs,30,scaled,0.15,1.0,,3.0,12.0,-2601.50%,,392.93%,,-521.63%,55.37%,-25.015,False,-3.784,-32.67%,-0.145,-0.201,-3.401,-33.92%,-0.217,-0.201,-2.442,-44.73%,-0.123,-0.202,2.065,-109.43%,0.083,-0.229,-2.865,-83.16%,-0.122,-0.221
ema_3-12 | long_only | equal | top10,ema_3-12,ema_crossover,,1,ema_crossover,long_only,10,equal,,1.0,,3.0,12.0,52621.60%,26.68%,33.27%,0.802,-62.83%,57.55%,527.216,True,1.002,19.92%,0.457,0.674,0.835,20.01%,0.630,0.695,0.954,19.86%,0.579,0.715,0.875,15.21%,0.469,0.486,0.882,20.41%,0.520,0.735
ema_3-12 | long_only | scaled cap25 | top10,ema_3-12,ema_crossover,,1,ema_crossover,long_only,10,scaled,0.25,1.0,,3.0,12.0,90616.15%,29.30%,38.39%,0.763,-61.66%,58.49%,907.161,True,1.015,23.70%,0.401,0.678,0.883,23.37%,0.577,0.701,0.985,23.45%,0.518,0.710,1.018,14.74%,0.483,0.471,0.936,21.44%,0.485,0.672
ema_3-12 | long_only | scaled cap20 | top10,ema_3-12,ema_crossover,,1,ema_crossover,long_only,10,scaled,0.2,1.0,,3.0,12.0,87231.06%,29.12%,37.65%,0.773,-63.06%,57.55%,873.311,True,1.013,23.28%,0.408,0.681,0.883,22.94%,0.588,0.707,0.984,23.02%,0.527,0.715,1.009,14.91%,0.487,0.483,0.939,21.45%,0.495,0.690
ema_3-12 | long_only | scaled cap15 | top10,ema_3-12,ema_crossover,,1,ema_crossover,long_only,10,scaled,0.15,1.0,,3.0,12.0,75312.71%,28.41%,36.51%,0.778,-64.12%,58.49%,754.127,True,1.019,22.23%,0.423,0.677,0.879,21.98%,0.605,0.706,0.985,22.02%,0.545,0.714,0.974,15.05%,0.482,0.485,0.937,21.26%,0.507,0.706
ema_3-12 | long_only | equal | top20,ema_3-12,ema_crossover,,1,ema_crossover,long_only,20,equal,,1.0,,3.0,12.0,25546.63%,23.28%,28.43%,0.819,-55.40%,57.86%,256.466,True,0.931,16.41%,0.496,0.638,0.787,16.36%,0.695,0.663,0.894,16.27%,0.635,0.690,0.808,12.69%,0.489,0.421,0.872,16.77%,0.584,0.716
ema_3-12 | long_only | scaled cap25 | top20,ema_3-12,ema_crossover,,1,ema_crossover,long_only,20,scaled,0.25,1.0,,3.0,12.0,64084.14%,27.63%,34.18%,0.808,-60.62%,58.18%,641.841,True,0.988,21.17%,0.438,0.685,0.838,21.09%,0.615,0.708,0.951,21.01%,0.561,0.725,0.920,14.20%,0.483,0.463,0.912,19.64%,0.526,0.699
ema_3-12 | long_only | scaled cap20 | top20,ema_3-12,ema_crossover,,1,ema_crossover,long_only,20,scaled,0.2,1.0,,3.0,12.0,60357.33%,27.34%,33.98%,0.805,-60.86%,58.49%,604.573,True,0.986,20.89%,0.440,0.680,0.836,20.81%,0.617,0.702,0.948,20.73%,0.563,0.720,0.920,14.09%,0.486,0.463,0.908,19.54%,0.527,0.700
ema_3-12 | long_only | scaled cap15 | top20,ema_3-12,ema_crossover,,1,ema_crossover,long_only,20,scaled,0.15,1.0,,3.0,12.0,57278.06%,27.09%,33.46%,0.810,-60.38%,57.55%,573.781,True,0.976,20.59%,0.442,0.679,0.827,20.52%,0.620,0.699,0.939,20.43%,0.566,0.718,0.921,14.19%,0.492,0.475,0.898,19.66%,0.528,0.713
ema_3-12 | long_only | equal | top30,ema_3-12,ema_crossover,,1,ema_crossover,long_only,30,equal,,1.0,,3.0,12.0,16580.17%,21.30%,26.37%,0.808,-55.78%,60.06%,166.802,True,0.958,13.98%,0.550,0.617,0.797,14.08%,0.758,0.659,0.890,14.14%,0.681,0.671,0.729,12.36%,0.467,0.384,0.887,15.34%,0.631,0.729
ema_3-12 | long_only | scaled cap25 | top30,ema_3-12,ema_crossover,,1,ema_crossover,long_only,30,scaled,0.25,1.0,,3.0,12.0,47113.30%,26.16%,31.43%,0.832,-57.71%,60.06%,472.133,True,0.971,19.27%,0.468,0.684,0.824,19.19%,0.658,0.716,0.927,19.18%,0.595,0.730,0.860,13.69%,0.486,0.453,0.909,18.37%,0.565,0.726
ema_3-12 | long_only | scaled cap20 | top30,ema_3-12,ema_crossover,,1,ema_crossover,long_only,30,scaled,0.2,1.0,,3.0,12.0,46006.66%,26.04%,31.38%,0.830,-57.71%,60.06%,461.067,True,0.970,19.17%,0.468,0.681,0.821,19.11%,0.657,0.711,0.926,19.08%,0.596,0.727,0.863,13.58%,0.488,0.452,0.907,18.30%,0.564,0.723
ema_3-12 | long_only | scaled cap15 | top30,ema_3-12,ema_crossover,,1,ema_crossover,long_only,30,scaled,0.15,1.0,,3.0,12.0,44073.47%,25.84%,31.24%,0.827,-57.67%,60.06%,441.735,True,0.968,18.98%,0.470,0.677,0.818,18.93%,0.658,0.706,0.925,18.89%,0.597,0.723,0.865,13.39%,0.491,0.448,0.902,18.15%,0.564,0.719
ema_3-12 | classic_long_short | equal | top10,ema_3-12,ema_crossover,,1,ema_crossover,classic_long_short,10,equal,,1.0,,3.0,12.0,-1808.72%,,306.98%,,-1055.57%,56.29%,-17.087,False,-2.919,-29.76%,-0.144,-0.214,-2.699,-27.05%,-0.221,-0.217,-1.898,-38.26%,-0.125,-0.215,1.583,-89.16%,0.080,-0.244,-2.382,-67.50%,-0.127,-0.227
ema_3-12 | classic_long_short | scaled cap25 | top10,ema_3-12,ema_crossover,,1,ema_crossover,classic_long_short,10,scaled,0.25,1.0,,3.0,12.0,-1374.28%,,1068.24%,,-618.70%,50.31%,-12.743,False,-9.541,-119.22%,-0.135,-0.203,-9.150,-106.73%,-0.215,-0.204,-6.146,-147.57%,-0.116,-0.204,5.546,-319.95%,0.081,-0.228,-7.800,-244.35%,-0.120,-0.227
ema_3-12 | classic_long_short | scaled cap20 | top10,ema_3-12,ema_crossover,,1,ema_crossover,classic_long_short,10,scaled,0.2,1.0,,3.0,12.0,-1411.67%,,1068.23%,,-631.87%,50.00%,-13.117,False,-9.543,-119.14%,-0.135,-0.203,-9.151,-106.66%,-0.215,-0.204,-6.149,-147.48%,-0.116,-0.203,5.545,-319.90%,0.081,-0.228,-7.809,-244.26%,-0.120,-0.227
ema_3-12 | classic_long_short | scaled cap15 | top10,ema_3-12,ema_crossover,,1,ema_crossover,classic_long_short,10,scaled,0.15,1.0,,3.0,12.0,-1493.68%,,908.48%,,-661.56%,50.63%,-13.937,False,-8.184,-100.12%,-0.136,-0.204,-7.814,-89.80%,-0.216,-0.205,-5.278,-124.37%,-0.117,-0.204,4.713,-271.74%,0.081,-0.229,-6.685,-207.34%,-0.121,-0.228
ema_3-12 | classic_long_short | equal | top20,ema_3-12,ema_crossover,,1,ema_crossover,classic_long_short,20,equal,,1.0,,3.0,12.0,-1196.00%,,156.01%,,-769.81%,55.03%,-10.960,False,-1.583,-12.59%,-0.154,-0.230,-1.420,-11.61%,-0.228,-0.235,-1.035,-17.14%,-0.134,-0.232,0.821,-43.98%,0.082,-0.268,-1.271,-32.87%,-0.134,-0.228
ema_3-12 | classic_long_short | scaled cap25 | top20,ema_3-12,ema_crossover,,1,ema_crossover,classic_long_short,20,scaled,0.25,1.0,,3.0,12.0,-2591.54%,,688.61%,,-1289.78%,51.57%,-24.915,False,-6.230,-74.27%,-0.137,-0.205,-5.933,-66.58%,-0.216,-0.206,-4.017,-92.74%,-0.118,-0.206,3.586,-204.38%,0.081,-0.230,-5.088,-155.64%,-0.121,-0.227
ema_3-12 | classic_long_short | scaled cap20 | top20,ema_3-12,ema_crossover,,1,ema_crossover,classic_long_short,20,scaled,0.2,1.0,,3.0,12.0,-2601.94%,,688.61%,,-1294.75%,51.57%,-25.019,False,-6.229,-74.26%,-0.137,-0.205,-5.933,-66.56%,-0.216,-0.206,-4.017,-92.73%,-0.118,-0.206,3.587,-204.37%,0.081,-0.230,-5.087,-155.62%,-0.121,-0.227
ema_3-12 | classic_long_short | scaled cap15 | top20,ema_3-12,ema_crossover,,1,ema_crossover,classic_long_short,20,scaled,0.15,1.0,,3.0,12.0,-2589.15%,,688.61%,,-1288.64%,52.20%,-24.891,False,-6.230,-74.28%,-0.137,-0.205,-5.935,-66.57%,-0.216,-0.206,-4.017,-92.74%,-0.118,-0.206,3.588,-204.42%,0.081,-0.230,-5.089,-155.66%,-0.121,-0.227
ema_3-12 | classic_long_short | equal | top30,ema_3-12,ema_crossover,,1,ema_crossover,classic_long_short,30,equal,,1.0,,3.0,12.0,-823.12%,,104.74%,,-615.83%,56.60%,-7.231,False,-1.077,-7.56%,-0.156,-0.249,-0.965,-6.90%,-0.231,-0.253,-0.711,-10.58%,-0.137,-0.251,0.559,-28.74%,0.083,-0.292,-0.872,-21.25%,-0.137,-0.229
ema_3-12 | classic_long_short | scaled cap25 | top30,ema_3-12,ema_crossover,,1,ema_crossover,classic_long_short,30,scaled,0.25,1.0,,3.0,12.0,-2798.43%,,506.94%,,-1488.69%,54.72%,-26.984,False,-4.635,-53.08%,-0.139,-0.207,-4.389,-47.63%,-0.217,-0.209,-2.994,-66.77%,-0.119,-0.208,2.647,-149.50%,0.081,-0.234,-3.772,-113.62%,-0.122,-0.227
ema_3-12 | classic_long_short | scaled cap20 | top30,ema_3-12,ema_crossover,,1,ema_crossover,classic_long_short,30,scaled,0.2,1.0,,3.0,12.0,-2802.62%,,506.94%,,-1490.85%,54.72%,-27.026,False,-4.635,-53.07%,-0.139,-0.207,-4.389,-47.62%,-0.217,-0.209,-2.994,-66.77%,-0.119,-0.208,2.647,-149.50%,0.081,-0.234,-3.772,-113.61%,-0.122,-0.227
ema_3-12 | classic_long_short | scaled cap15 | top30,ema_3-12,ema_crossover,,1,ema_crossover,classic_long_short,30,scaled,0.15,1.0,,3.0,12.0,-2811.17%,,506.94%,,-1495.24%,54.72%,-27.112,False,-4.635,-53.06%,-0.139,-0.207,-4.389,-47.61%,-0.217,-0.209,-2.994,-66.75%,-0.119,-0.208,2.648,-149.49%,0.081,-0.234,-3.772,-113.60%,-0.122,-0.227
ema_3-12 | directional_abs | equal | top10,ema_3-12,ema_crossover,,1,ema_crossover,directional_abs,10,equal,,1.0,,3.0,12.0,5.96%,0.22%,614.80%,0.000,-100.16%,55.84%,1.060,False,-5.813,-58.58%,-0.143,-0.199,-5.346,-52.97%,-0.218,-0.201,-3.735,-74.92%,-0.122,-0.200,3.208,-179.53%,0.081,-0.228,-4.674,-137.35%,-0.125,-0.226
ema_3-12 | directional_abs | scaled cap25 | top10,ema_3-12,ema_crossover,,1,ema_crossover,directional_abs,10,scaled,0.25,1.0,,3.0,12.0,903.86%,9.12%,1018.35%,0.009,-101.01%,55.21%,10.039,False,-9.311,-105.56%,-0.139,-0.198,-8.757,-94.38%,-0.216,-0.200,-5.994,-131.60%,-0.118,-0.199,5.308,-300.13%,0.081,-0.224,-7.538,-229.39%,-0.122,-0.225
ema_3-12 | directional_abs | scaled cap20 | top10,ema_3-12,ema_crossover,,1,ema_crossover,directional_abs,10,scaled,0.2,1.0,,3.0,12.0,906.32%,9.13%,1018.34%,0.009,-101.02%,55.21%,10.063,False,-9.314,-105.53%,-0.139,-0.198,-8.761,-94.35%,-0.216,-0.200,-5.996,-131.59%,-0.118,-0.199,5.304,-300.12%,0.081,-0.224,-7.547,-229.41%,-0.122,-0.225
ema_3-12 | directional_abs | scaled cap15 | top10,ema_3-12,ema_crossover,,1,ema_crossover,directional_abs,10,scaled,0.15,1.0,,3.0,12.0,945.61%,9.29%,915.77%,0.010,-101.07%,55.21%,10.456,False,-8.441,-93.30%,-0.140,-0.198,-7.905,-83.55%,-0.217,-0.200,-5.431,-116.93%,-0.119,-0.199,4.764,-269.53%,0.081,-0.225,-6.831,-206.09%,-0.122,-0.225
ema_3-12 | directional_abs | equal | top20,ema_3-12,ema_crossover,,1,ema_crossover,directional_abs,20,equal,,1.0,,3.0,12.0,-762.55%,,312.63%,,-197.57%,57.10%,-6.625,False,-3.192,-25.15%,-0.155,-0.205,-2.783,-23.79%,-0.224,-0.208,-2.047,-34.16%,-0.132,-0.207,1.617,-89.78%,0.081,-0.241,-2.512,-69.25%,-0.132,-0.230
ema_3-12 | directional_abs | scaled cap25 | top20,ema_3-12,ema_crossover,,1,ema_crossover,directional_abs,20,scaled,0.25,1.0,,3.0,12.0,-516.03%,,626.45%,,-160.57%,57.10%,-4.160,False,-5.917,-61.17%,-0.143,-0.201,-5.438,-55.50%,-0.218,-0.203,-3.803,-77.78%,-0.122,-0.202,3.259,-183.26%,0.081,-0.228,-4.744,-140.42%,-0.124,-0.226
ema_3-12 | directional_abs | scaled cap20 | top20,ema_3-12,ema_crossover,,1,ema_crossover,directional_abs,20,scaled,0.2,1.0,,3.0,12.0,-513.44%,,626.45%,,-160.19%,57.10%,-4.134,False,-5.917,-61.19%,-0.143,-0.201,-5.438,-55.52%,-0.218,-0.203,-3.804,-77.80%,-0.122,-0.202,3.258,-183.29%,0.081,-0.229,-4.744,-140.45%,-0.124,-0.226
ema_3-12 | directional_abs | scaled cap15 | top20,ema_3-12,ema_crossover,,1,ema_crossover,directional_abs,20,scaled,0.15,1.0,,3.0,12.0,-505.25%,,626.45%,,-158.89%,57.10%,-4.052,False,-5.918,-61.27%,-0.143,-0.201,-5.439,-55.59%,-0.218,-0.203,-3.803,-77.89%,-0.122,-0.202,3.259,-183.42%,0.081,-0.229,-4.746,-140.57%,-0.124,-0.227
ema_3-12 | directional_abs | equal | top30,ema_3-12,ema_crossover,,1,ema_crossover,directional_abs,30,equal,,1.0,,3.0,12.0,-1609.81%,,211.30%,,-336.13%,56.78%,-15.098,False,-2.219,-12.81%,-0.159,-0.201,-1.882,-12.46%,-0.224,-0.206,-1.414,-19.17%,-0.134,-0.204,1.108,-57.19%,0.082,-0.241,-1.733,-43.91%,-0.135,-0.223
ema_3-12 | directional_abs | scaled cap25 | top30,ema_3-12,ema_crossover,,1,ema_crossover,directional_abs,30,scaled,0.25,1.0,,3.0,12.0,-1751.81%,,474.59%,,-348.50%,57.10%,-16.518,False,-4.533,-43.23%,-0.145,-0.200,-4.123,-39.37%,-0.218,-0.202,-2.905,-56.05%,-0.123,-0.201,2.486,-136.38%,0.082,-0.229,-3.622,-104.31%,-0.125,-0.224
ema_3-12 | directional_abs | scaled cap20 | top30,ema_3-12,ema_crossover,,1,ema_crossover,directional_abs,30,scaled,0.2,1.0,,3.0,12.0,-1751.81%,,474.59%,,-348.50%,57.10%,-16.518,False,-4.533,-43.23%,-0.145,-0.200,-4.123,-39.37%,-0.218,-0.202,-2.905,-56.05%,-0.123,-0.201,2.486,-136.38%,0.082,-0.229,-3.622,-104.31%,-0.125,-0.224
ema_3-12 | directional_abs | scaled cap15 | top30,ema_3-12,ema_crossover,,1,ema_crossover,directional_abs,30,scaled,0.15,1.0,,3.0,12.0,-1742.04%,,474.59%,,-346.83%,57.10%,-16.420,False,-4.533,-43.25%,-0.145,-0.200,-4.123,-39.39%,-0.218,-0.202,-2.905,-56.07%,-0.123,-0.201,2.485,-136.41%,0.082,-0.229,-3.622,-104.34%,-0.125,-0.224
wma_3-12 | long_only | equal | top10,wma_3-12,wma_crossover,,1,wma_crossover,long_only,10,equal,,1.0,,3.0,12.0,67578.83%,29.01%,34.08%,0.851,-57.52%,60.91%,676.788,True,0.977,21.77%,0.432,0.701,0.844,22.46%,0.621,0.771,0.984,21.26%,0.574,0.756,0.912,16.19%,0.476,0.524,0.957,21.42%,0.548,0.780
wma_3-12 | long_only | scaled cap25 | top10,wma_3-12,wma_crossover,,1,wma_crossover,long_only,10,scaled,0.25,1.0,,3.0,12.0,101525.24%,31.08%,38.42%,0.809,-54.26%,59.28%,1016.252,True,0.994,24.79%,0.390,0.699,0.883,25.24%,0.576,0.761,1.004,24.24%,0.519,0.740,1.027,17.52%,0.470,0.537,0.997,24.49%,0.498,0.755
wma_3-12 | long_only | scaled cap20 | top10,wma_3-12,wma_crossover,,1,wma_crossover,long_only,10,scaled,0.2,1.0,,3.0,12.0,88181.24%,30.36%,37.44%,0.811,-55.64%,58.31%,882.812,True,0.994,23.86%,0.401,0.694,0.879,24.35%,0.589,0.759,0.999,23.37%,0.530,0.736,0.998,16.98%,0.471,0.528,0.997,23.51%,0.515,0.759
wma_3-12 | long_only | scaled cap15 | top10,wma_3-12,wma_crossover,,1,wma_crossover,long_only,10,scaled,0.15,1.0,,3.0,12.0,92248.91%,30.59%,35.77%,0.855,-54.95%,60.91%,923.489,True,0.970,23.66%,0.409,0.716,0.856,24.15%,0.600,0.785,0.978,23.14%,0.543,0.763,0.949,17.39%,0.471,0.550,0.975,23.17%,0.531,0.794
wma_3-12 | long_only | equal | top20,wma_3-12,wma_crossover,,1,wma_crossover,long_only,20,equal,,1.0,,3.0,12.0,28635.21%,24.77%,29.76%,0.832,-55.64%,59.61%,287.352,True,0.978,17.08%,0.496,0.652,0.848,17.73%,0.715,0.762,0.961,16.81%,0.642,0.719,0.815,14.44%,0.469,0.464,0.962,18.11%,0.609,0.768
wma_3-12 | long_only | scaled cap25 | top20,wma_3-12,wma_crossover,,1,wma_crossover,long_only,20,scaled,0.25,1.0,,3.0,12.0,91504.75%,30.55%,34.69%,0.881,-54.75%,60.59%,916.047,True,0.981,23.20%,0.427,0.734,0.863,23.72%,0.624,0.816,0.987,22.70%,0.565,0.788,0.932,17.39%,0.472,0.555,0.986,22.88%,0.546,0.809
wma_3-12 | long_only | scaled cap20 | top20,wma_3-12,wma_crossover,,1,wma_crossover,long_only,20,scaled,0.2,1.0,,3.0,12.0,90784.87%,30.51%,34.60%,0.882,-54.93%,60.59%,908.849,True,0.982,23.13%,0.428,0.734,0.864,23.65%,0.626,0.817,0.988,22.63%,0.567,0.790,0.936,17.37%,0.475,0.558,0.986,22.94%,0.548,0.815
wma_3-12 | long_only | scaled cap15 | top20,wma_3-12,wma_crossover,,1,wma_crossover,long_only,20,scaled,0.15,1.0,,3.0,12.0,76015.54%,29.61%,34.08%,0.869,-55.03%,60.59%,761.155,True,0.983,22.24%,0.435,0.719,0.863,22.78%,0.635,0.804,0.986,21.76%,0.575,0.775,0.929,16.81%,0.478,0.546,0.982,22.27%,0.554,0.807
wma_3-12 | long_only | equal | top30,wma_3-12,wma_crossover,,1,wma_crossover,long_only,30,equal,,1.0,,3.0,12.0,15382.63%,21.79%,26.68%,0.816,-53.03%,59.61%,154.826,True,0.971,13.87%,0.549,0.609,0.809,14.87%,0.760,0.715,0.922,13.94%,0.686,0.675,0.727,12.98%,0.462,0.405,0.917,16.11%,0.642,0.770
wma_3-12 | long_only | scaled cap25 | top30,wma_3-12,wma_crossover,,1,wma_crossover,long_only,30,scaled,0.25,1.0,,3.0,12.0,56765.63%,28.14%,32.14%,0.876,-54.36%,60.91%,568.656,True,0.981,20.48%,0.461,0.712,0.850,21.15%,0.663,0.804,0.970,20.16%,0.599,0.771,0.867,15.94%,0.470,0.515,0.968,20.57%,0.576,0.797
wma_3-12 | long_only | scaled cap20 | top30,wma_3-12,wma_crossover,,1,wma_crossover,long_only,30,scaled,0.2,1.0,,3.0,12.0,56895.99%,28.15%,32.07%,0.878,-54.36%,60.91%,569.960,True,0.982,20.47%,0.462,0.713,0.849,21.15%,0.664,0.805,0.971,20.14%,0.601,0.774,0.870,15.94%,0.473,0.518,0.967,20.60%,0.577,0.800
wma_3-12 | long_only | scaled cap15 | top30,wma_3-12,wma_crossover,,1,wma_crossover,long_only,30,scaled,0.15,1.0,,3.0,12.0,57883.79%,28.24%,31.99%,0.883,-54.36%,60.59%,579.838,True,0.980,20.52%,0.462,0.717,0.847,21.21%,0.664,0.809,0.971,20.17%,0.603,0.779,0.875,15.97%,0.476,0.523,0.967,20.70%,0.578,0.807
wma_3-12 | classic_long_short | equal | top10,wma_3-12,wma_crossover,,1,wma_crossover,classic_long_short,10,equal,,1.0,,3.0,12.0,-3949.12%,,311.18%,,-1673.94%,55.70%,-38.491,False,-3.031,-25.95%,-0.147,-0.209,-2.763,-26.55%,-0.223,-0.208,-2.001,-35.16%,-0.128,-0.210,1.597,-85.89%,0.081,-0.235,-2.298,-64.44%,-0.123,-0.219
wma_3-12 | classic_long_short | scaled cap25 | top10,wma_3-12,wma_crossover,,1,wma_crossover,classic_long_short,10,scaled,0.25,1.0,,3.0,12.0,-4764.22%,,1534.90%,,-2345.82%,55.37%,-46.642,False,-13.939,-163.63%,-0.137,-0.202,-13.333,-159.74%,-0.218,-0.202,-9.198,-205.95%,-0.119,-0.202,7.824,-444.59%,0.081,-0.221,-10.891,-337.67%,-0.118,-0.222
wma_3-12 | classic_long_short | scaled cap20 | top10,wma_3-12,wma_crossover,,1,wma_crossover,classic_long_short,10,scaled,0.2,1.0,,3.0,12.0,-4026.55%,,1229.36%,,-2031.85%,55.05%,-39.266,False,-11.254,-129.40%,-0.138,-0.203,-10.718,-126.77%,-0.219,-0.203,-7.429,-163.56%,-0.120,-0.203,6.278,-355.48%,0.081,-0.222,-8.740,-269.77%,-0.119,-0.222
wma_3-12 | classic_long_short | scaled cap15 | top10,wma_3-12,wma_crossover,,1,wma_crossover,classic_long_short,10,scaled,0.15,1.0,,3.0,12.0,-3117.03%,,923.74%,,-1756.71%,54.07%,-30.170,False,-8.568,-95.35%,-0.140,-0.204,-8.099,-93.99%,-0.220,-0.204,-5.660,-121.32%,-0.122,-0.205,4.723,-266.33%,0.081,-0.224,-6.600,-201.84%,-0.119,-0.222
