strategy_name,signal_name,signal_type,volatility_lookback_months,strategy_type,weighting,top_n,momentum_window,lookback_months,skip_months,max_weight,gross_exposure,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,best_month,worst_month,final_value,min_equity_value,valid_for_chart
classic_long_short scaled cap25 top30 raw mom3-1,raw,momentum,,classic_long_short,scaled,30,3-1,3,1,0.25,1.0,-2259.73%,,641.01%,,-2128.20%,51.90%,23.83%,-3288.19%,-21.60,-39.94,False
classic_long_short scaled cap20 top30 raw mom3-1,raw,momentum,,classic_long_short,scaled,30,3-1,3,1,0.2,1.0,-2277.59%,,641.01%,,-2144.97%,51.90%,23.83%,-3288.19%,-21.78,-40.27,False
classic_long_short scaled cap15 top30 raw mom3-1,raw,momentum,,classic_long_short,scaled,30,3-1,3,1,0.15,1.0,-2261.58%,,641.01%,,-2161.81%,51.90%,22.41%,-3288.19%,-21.62,-40.07,False
classic_long_short scaled cap10 top30 raw mom3-1,raw,momentum,,classic_long_short,scaled,30,3-1,3,1,0.1,1.0,-2123.03%,,606.18%,,-2067.66%,52.22%,20.04%,-3109.42%,-20.23,-37.84,False
classic_long_short equal top40 raw mom3-1,raw,momentum,,classic_long_short,equal,40,3-1,3,1,,1.0,-363.60%,,78.03%,,-390.26%,54.75%,7.87%,-397.80%,-2.64,-3.94,False
classic_long_short scaled cap30 top40 raw mom3-1,raw,momentum,,classic_long_short,scaled,40,3-1,3,1,0.3,1.0,-2008.77%,,534.47%,,-2014.10%,52.53%,20.23%,-2741.57%,-19.09,-32.92,False
classic_long_short scaled cap25 top40 raw mom3-1,raw,momentum,,classic_long_short,scaled,40,3-1,3,1,0.25,1.0,-2021.88%,,534.47%,,-2027.25%,52.53%,20.23%,-2741.57%,-19.22,-33.15,False
classic_long_short scaled cap20 top40 raw mom3-1,raw,momentum,,classic_long_short,scaled,40,3-1,3,1,0.2,1.0,-2035.03%,,534.48%,,-2040.44%,52.53%,20.23%,-2741.57%,-19.35,-33.37,False
classic_long_short scaled cap15 top40 raw mom3-1,raw,momentum,,classic_long_short,scaled,40,3-1,3,1,0.15,1.0,-2043.91%,,534.48%,,-2053.67%,52.53%,20.21%,-2741.57%,-19.44,-33.53,False
classic_long_short scaled cap10 top40 raw mom3-1,raw,momentum,,classic_long_short,scaled,40,3-1,3,1,0.1,1.0,-2004.87%,,534.47%,,-2066.95%,52.53%,17.59%,-2741.57%,-19.05,-33.06,False
directional_abs equal top10 raw mom3-1,raw,momentum,,directional_abs,equal,10,3-1,3,1,,1.0,5136.64%,16.22%,613.08%,0.026,-116.85%,52.85%,57.88%,-3137.46%,52.37,-1.59,False
directional_abs scaled cap30 top10 raw mom3-1,raw,momentum,,directional_abs,scaled,10,3-1,3,1,0.3,1.0,15521.15%,21.15%,1238.93%,0.017,-119.24%,53.48%,58.90%,-6352.47%,156.21,-2.33,False
directional_abs scaled cap25 top10 raw mom3-1,raw,momentum,,directional_abs,scaled,10,3-1,3,1,0.25,1.0,15503.45%,21.14%,1238.92%,0.017,-119.24%,53.48%,58.90%,-6352.47%,156.03,-2.31,False
directional_abs scaled cap20 top10 raw mom3-1,raw,momentum,,directional_abs,scaled,10,3-1,3,1,0.2,1.0,15056.72%,21.01%,1215.60%,0.017,-119.25%,53.16%,58.90%,-6232.73%,151.57,-2.30,False
directional_abs scaled cap15 top10 raw mom3-1,raw,momentum,,directional_abs,scaled,10,3-1,3,1,0.15,1.0,11263.66%,19.69%,914.33%,0.022,-120.01%,53.80%,58.90%,-4685.35%,113.64,-2.35,False
directional_abs scaled cap10 top10 raw mom3-1,raw,momentum,,directional_abs,scaled,10,3-1,3,1,0.1,1.0,5136.64%,16.22%,613.08%,0.026,-116.85%,52.85%,57.88%,-3137.46%,52.37,-1.59,False
directional_abs equal top20 raw mom3-1,raw,momentum,,directional_abs,equal,20,3-1,3,1,,1.0,-1234.36%,,311.50%,,-410.00%,53.16%,47.84%,-1588.34%,-11.34,-19.26,False
directional_abs scaled cap30 top20 raw mom3-1,raw,momentum,,directional_abs,scaled,20,3-1,3,1,0.3,1.0,-2063.11%,,738.40%,,-423.39%,53.16%,49.85%,-3783.66%,-19.63,-32.04,False
directional_abs scaled cap25 top20 raw mom3-1,raw,momentum,,directional_abs,scaled,20,3-1,3,1,0.25,1.0,-2062.52%,,738.40%,,-425.44%,53.16%,49.85%,-3783.66%,-19.63,-32.06,False
directional_abs scaled cap20 top20 raw mom3-1,raw,momentum,,directional_abs,scaled,20,3-1,3,1,0.2,1.0,-2051.89%,,738.40%,,-427.50%,53.16%,49.85%,-3783.66%,-19.52,-32.03,False
directional_abs scaled cap15 top20 raw mom3-1,raw,momentum,,directional_abs,scaled,20,3-1,3,1,0.15,1.0,-2026.40%,,738.39%,,-429.57%,53.16%,49.85%,-3783.66%,-19.26,-31.70,False
directional_abs scaled cap10 top20 raw mom3-1,raw,momentum,,directional_abs,scaled,20,3-1,3,1,0.1,1.0,-1625.68%,,612.50%,,-374.63%,53.80%,49.85%,-3136.73%,-15.26,-25.45,False
directional_abs equal top25 raw mom3-1,raw,momentum,,directional_abs,equal,25,3-1,3,1,,1.0,-1867.91%,,250.41%,,-590.39%,53.48%,47.24%,-1274.50%,-17.68,-32.29,False
directional_abs scaled cap30 top25 raw mom3-1,raw,momentum,,directional_abs,scaled,25,3-1,3,1,0.3,1.0,-4968.84%,,626.72%,,-896.48%,53.16%,49.09%,-3210.47%,-48.69,-82.76,False
directional_abs scaled cap25 top25 raw mom3-1,raw,momentum,,directional_abs,scaled,25,3-1,3,1,0.25,1.0,-4990.77%,,626.72%,,-900.97%,53.16%,49.09%,-3210.47%,-48.91,-83.14,False
directional_abs scaled cap20 top25 raw mom3-1,raw,momentum,,directional_abs,scaled,25,3-1,3,1,0.2,1.0,-4949.59%,,626.72%,,-905.47%,53.16%,49.09%,-3210.47%,-48.50,-82.72,False
directional_abs scaled cap15 top25 raw mom3-1,raw,momentum,,directional_abs,scaled,25,3-1,3,1,0.15,1.0,-4916.03%,,626.72%,,-910.09%,53.16%,49.09%,-3210.47%,-48.16,-82.55,False
directional_abs scaled cap10 top25 raw mom3-1,raw,momentum,,directional_abs,scaled,25,3-1,3,1,0.1,1.0,-4689.03%,,611.68%,,-895.90%,53.16%,49.09%,-3133.24%,-45.89,-79.17,False
directional_abs equal top30 raw mom3-1,raw,momentum,,directional_abs,equal,30,3-1,3,1,,1.0,-1677.22%,,209.77%,,-573.20%,55.06%,44.97%,-1065.53%,-15.77,-26.82,False
directional_abs scaled cap30 top30 raw mom3-1,raw,momentum,,directional_abs,scaled,30,3-1,3,1,0.3,1.0,-5352.42%,,551.95%,,-1005.48%,52.53%,47.20%,-2826.72%,-52.52,-85.62,False
directional_abs scaled cap25 top30 raw mom3-1,raw,momentum,,directional_abs,scaled,30,3-1,3,1,0.25,1.0,-5379.85%,,551.95%,,-1010.20%,52.53%,47.20%,-2826.72%,-52.80,-86.06,False
directional_abs scaled cap20 top30 raw mom3-1,raw,momentum,,directional_abs,scaled,30,3-1,3,1,0.2,1.0,-5361.25%,,551.95%,,-1014.94%,52.53%,47.20%,-2826.72%,-52.61,-85.91,False
directional_abs scaled cap15 top30 raw mom3-1,raw,momentum,,directional_abs,scaled,30,3-1,3,1,0.15,1.0,-5333.85%,,551.95%,,-1019.70%,52.53%,47.20%,-2826.72%,-52.34,-85.85,False
directional_abs scaled cap10 top30 raw mom3-1,raw,momentum,,directional_abs,scaled,30,3-1,3,1,0.1,1.0,-5216.72%,,551.94%,,-1025.42%,52.53%,47.20%,-2826.72%,-51.17,-84.19,False
directional_abs equal top40 raw mom3-1,raw,momentum,,directional_abs,equal,40,3-1,3,1,,1.0,-1603.75%,,159.44%,,-580.56%,55.38%,43.01%,-806.53%,-15.04,-25.38,False
directional_abs scaled cap30 top40 raw mom3-1,raw,momentum,,directional_abs,scaled,40,3-1,3,1,0.3,1.0,-6017.46%,,457.36%,,-1210.99%,53.48%,45.34%,-2341.17%,-59.17,-97.19,False
directional_abs scaled cap25 top40 raw mom3-1,raw,momentum,,directional_abs,scaled,40,3-1,3,1,0.25,1.0,-6041.56%,,457.36%,,-1215.51%,53.48%,45.34%,-2341.17%,-59.42,-97.59,False
directional_abs scaled cap20 top40 raw mom3-1,raw,momentum,,directional_abs,scaled,40,3-1,3,1,0.2,1.0,-6053.54%,,457.36%,,-1220.04%,53.48%,45.34%,-2341.17%,-59.54,-97.78,False
directional_abs scaled cap15 top40 raw mom3-1,raw,momentum,,directional_abs,scaled,40,3-1,3,1,0.15,1.0,-6017.88%,,457.36%,,-1224.59%,53.48%,45.34%,-2341.17%,-59.18,-97.58,False
directional_abs scaled cap10 top40 raw mom3-1,raw,momentum,,directional_abs,scaled,40,3-1,3,1,0.1,1.0,-5888.81%,,457.35%,,-1228.89%,53.48%,45.34%,-2341.17%,-57.89,-95.67,False
long_only equal top10 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,equal,10,3-1,3,1,,1.0,9793.14%,19.13%,28.14%,0.680,-48.29%,62.22%,52.43%,-24.61%,98.93,0.97,True
long_only scaled cap30 top10 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,scaled,10,3-1,3,1,0.3,1.0,11248.92%,19.75%,28.33%,0.697,-47.64%,60.63%,47.12%,-24.96%,113.49,0.96,True
long_only scaled cap25 top10 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,scaled,10,3-1,3,1,0.25,1.0,11016.09%,19.66%,28.23%,0.696,-48.00%,59.68%,47.12%,-24.45%,111.16,0.95,True
long_only scaled cap20 top10 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,scaled,10,3-1,3,1,0.2,1.0,11057.98%,19.67%,28.31%,0.695,-48.55%,59.05%,45.23%,-25.14%,111.58,0.94,True
long_only scaled cap15 top10 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,scaled,10,3-1,3,1,0.15,1.0,10385.51%,19.39%,28.33%,0.685,-48.59%,60.32%,41.61%,-25.68%,104.86,0.97,True
long_only scaled cap10 top10 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,scaled,10,3-1,3,1,0.1,1.0,9793.14%,19.13%,28.14%,0.680,-48.29%,62.22%,52.43%,-24.61%,98.93,0.97,True
long_only equal top20 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,equal,20,3-1,3,1,,1.0,10932.85%,19.62%,26.09%,0.752,-44.84%,60.32%,42.38%,-24.53%,110.33,0.93,True
long_only scaled cap30 top20 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,scaled,20,3-1,3,1,0.3,1.0,11792.23%,19.97%,27.00%,0.739,-46.30%,61.59%,36.90%,-23.57%,118.92,0.97,True
long_only scaled cap25 top20 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,scaled,20,3-1,3,1,0.25,1.0,11198.77%,19.73%,26.90%,0.734,-46.24%,61.59%,36.90%,-23.57%,112.99,0.97,True
long_only scaled cap20 top20 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,scaled,20,3-1,3,1,0.2,1.0,11056.51%,19.67%,26.74%,0.736,-45.63%,61.59%,36.90%,-22.85%,111.57,0.97,True
long_only scaled cap15 top20 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,scaled,20,3-1,3,1,0.15,1.0,10783.02%,19.56%,26.81%,0.730,-45.99%,60.95%,38.64%,-23.15%,108.83,0.98,True
long_only scaled cap10 top20 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,scaled,20,3-1,3,1,0.1,1.0,10799.12%,19.57%,27.04%,0.724,-45.47%,61.27%,43.38%,-22.51%,108.99,0.99,True
long_only equal top25 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,equal,25,3-1,3,1,,1.0,9579.63%,19.03%,26.35%,0.722,-45.80%,60.32%,42.69%,-30.93%,96.80,0.90,True
long_only scaled cap30 top25 voladj3 mom3-1,voladj3,volatility_adjusted,3.0,long_only,scaled,25,3-1,3,1,0.3,1.0,12462.57%,20.22%,26.81%,0.754,-46.07%,61.90%,35.55%,-22.40%,125.63,0.98,True
