strategy_name,signal_name,signal_type,volatility_lookback_months,strategy_type,weighting,top_n,momentum_window,lookback_months,skip_months,max_weight,gross_exposure,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,best_month,worst_month,final_value,min_equity_value,valid_for_chart
classic_long_short scaled cap20 top30 raw mom9-1,raw,momentum,,classic_long_short,scaled,30,9-1,9,1,0.2,1.0,-4097.63%,,352.35%,,-1808.32%,56.45%,14.89%,-1788.09%,-39.98,-48.18,False
classic_long_short scaled cap15 top30 raw mom9-1,raw,momentum,,classic_long_short,scaled,30,9-1,9,1,0.15,1.0,-3974.08%,,352.34%,,-1759.37%,56.45%,14.89%,-1788.09%,-38.74,-46.69,False
classic_long_short scaled cap10 top30 raw mom9-1,raw,momentum,,classic_long_short,scaled,30,9-1,9,1,0.1,1.0,-3994.68%,,352.35%,,-1767.62%,57.10%,14.89%,-1788.12%,-38.95,-46.94,False
classic_long_short equal top40 raw mom9-1,raw,momentum,,classic_long_short,equal,40,9-1,9,1,,1.0,-512.18%,,80.22%,,-436.55%,55.16%,8.87%,-404.43%,-4.12,-4.71,False
classic_long_short scaled cap30 top40 raw mom9-1,raw,momentum,,classic_long_short,scaled,40,9-1,9,1,0.3,1.0,-2639.85%,,231.96%,,-1432.29%,56.77%,14.50%,-1175.63%,-25.40,-30.21,False
classic_long_short scaled cap25 top40 raw mom9-1,raw,momentum,,classic_long_short,scaled,40,9-1,9,1,0.25,1.0,-2559.19%,,231.95%,,-1389.98%,56.77%,13.45%,-1175.63%,-24.59,-29.25,False
classic_long_short scaled cap20 top40 raw mom9-1,raw,momentum,,classic_long_short,scaled,40,9-1,9,1,0.2,1.0,-2479.99%,,231.94%,,-1348.43%,56.77%,13.45%,-1175.63%,-23.80,-28.31,False
classic_long_short scaled cap15 top40 raw mom9-1,raw,momentum,,classic_long_short,scaled,40,9-1,9,1,0.15,1.0,-2402.12%,,231.94%,,-1307.67%,56.77%,13.45%,-1175.63%,-23.02,-27.38,False
classic_long_short scaled cap10 top40 raw mom9-1,raw,momentum,,classic_long_short,scaled,40,9-1,9,1,0.1,1.0,-2340.45%,,231.93%,,-1282.95%,56.77%,13.45%,-1175.63%,-22.40,-26.65,False
directional_abs equal top10 raw mom9-1,raw,momentum,,directional_abs,equal,10,9-1,9,1,,1.0,13192.06%,20.84%,614.70%,0.034,-106.51%,56.77%,35.06%,-3115.19%,132.92,-1.17,False
directional_abs scaled cap30 top10 raw mom9-1,raw,momentum,,directional_abs,scaled,10,9-1,9,1,0.3,1.0,19208.71%,22.60%,579.14%,0.039,-106.49%,58.06%,34.51%,-2933.25%,193.09,-1.63,False
directional_abs scaled cap25 top10 raw mom9-1,raw,momentum,,directional_abs,scaled,10,9-1,9,1,0.25,1.0,19157.86%,22.58%,583.84%,0.039,-106.60%,58.06%,34.51%,-2957.23%,192.58,-1.65,False
directional_abs scaled cap20 top10 raw mom9-1,raw,momentum,,directional_abs,scaled,10,9-1,9,1,0.2,1.0,21144.50%,23.05%,622.56%,0.037,-107.00%,57.74%,34.51%,-3154.61%,212.45,-1.75,False
directional_abs scaled cap15 top10 raw mom9-1,raw,momentum,,directional_abs,scaled,10,9-1,9,1,0.15,1.0,19331.91%,22.63%,661.27%,0.034,-107.20%,57.74%,34.51%,-3351.99%,194.32,-1.60,False
directional_abs scaled cap10 top10 raw mom9-1,raw,momentum,,directional_abs,scaled,10,9-1,9,1,0.1,1.0,13192.06%,20.84%,614.70%,0.034,-106.51%,56.77%,35.06%,-3115.19%,132.92,-1.17,False
directional_abs equal top20 raw mom9-1,raw,momentum,,directional_abs,equal,20,9-1,9,1,,1.0,-3850.18%,,311.69%,,-626.15%,59.35%,34.64%,-1573.37%,-37.50,-46.59,False
directional_abs scaled cap30 top20 raw mom9-1,raw,momentum,,directional_abs,scaled,20,9-1,9,1,0.3,1.0,-5399.85%,,360.70%,,-549.37%,58.39%,34.10%,-1822.37%,-53.00,-68.67,False
directional_abs scaled cap25 top20 raw mom9-1,raw,momentum,,directional_abs,scaled,20,9-1,9,1,0.25,1.0,-5253.84%,,360.70%,,-537.48%,58.39%,34.10%,-1822.37%,-51.54,-66.78,False
directional_abs scaled cap20 top20 raw mom9-1,raw,momentum,,directional_abs,scaled,20,9-1,9,1,0.2,1.0,-5107.34%,,360.69%,,-528.42%,58.39%,34.10%,-1822.37%,-50.07,-64.88,False
directional_abs scaled cap15 top20 raw mom9-1,raw,momentum,,directional_abs,scaled,20,9-1,9,1,0.15,1.0,-5190.41%,,364.08%,,-533.31%,58.06%,34.10%,-1839.74%,-50.90,-65.96,False
directional_abs scaled cap10 top20 raw mom9-1,raw,momentum,,directional_abs,scaled,20,9-1,9,1,0.1,1.0,-4797.74%,,385.28%,,-556.85%,57.74%,34.10%,-1948.16%,-46.98,-60.87,False
directional_abs equal top25 raw mom9-1,raw,momentum,,directional_abs,equal,25,9-1,9,1,,1.0,-5545.70%,,252.05%,,-1076.59%,60.00%,39.21%,-1269.77%,-54.46,-66.66,False
directional_abs scaled cap30 top25 raw mom9-1,raw,momentum,,directional_abs,scaled,25,9-1,9,1,0.3,1.0,-9206.10%,,309.30%,,-1029.57%,57.10%,37.57%,-1560.79%,-91.06,-116.19,False
directional_abs scaled cap25 top25 raw mom9-1,raw,momentum,,directional_abs,scaled,25,9-1,9,1,0.25,1.0,-8931.43%,,309.29%,,-1001.53%,57.10%,37.57%,-1560.79%,-88.31,-112.68,False
directional_abs scaled cap20 top25 raw mom9-1,raw,momentum,,directional_abs,scaled,25,9-1,9,1,0.2,1.0,-8679.59%,,309.28%,,-980.55%,57.10%,37.57%,-1560.79%,-85.80,-109.47,False
directional_abs scaled cap15 top25 raw mom9-1,raw,momentum,,directional_abs,scaled,25,9-1,9,1,0.15,1.0,-8568.64%,,309.27%,,-967.97%,57.10%,37.57%,-1560.79%,-84.69,-108.05,False
directional_abs scaled cap10 top25 raw mom9-1,raw,momentum,,directional_abs,scaled,25,9-1,9,1,0.1,1.0,-8572.57%,,321.49%,,-1021.77%,57.42%,37.57%,-1623.36%,-84.73,-108.10,False
directional_abs equal top30 raw mom9-1,raw,momentum,,directional_abs,equal,30,9-1,9,1,,1.0,-5272.71%,,211.44%,,-1117.40%,59.35%,38.41%,-1062.90%,-51.73,-62.72,False
directional_abs scaled cap30 top30 raw mom9-1,raw,momentum,,directional_abs,scaled,30,9-1,9,1,0.3,1.0,-10658.71%,,273.75%,,-1281.00%,57.42%,37.24%,-1379.86%,-105.59,-133.44,False
directional_abs scaled cap25 top30 raw mom9-1,raw,momentum,,directional_abs,scaled,30,9-1,9,1,0.25,1.0,-10343.87%,,273.74%,,-1245.79%,57.42%,37.24%,-1379.86%,-102.44,-129.46,False
directional_abs scaled cap20 top30 raw mom9-1,raw,momentum,,directional_abs,scaled,30,9-1,9,1,0.2,1.0,-10045.96%,,273.73%,,-1216.16%,57.42%,37.24%,-1379.86%,-99.46,-125.70,False
directional_abs scaled cap15 top30 raw mom9-1,raw,momentum,,directional_abs,scaled,30,9-1,9,1,0.15,1.0,-9809.89%,,273.73%,,-1191.95%,57.42%,37.24%,-1379.86%,-97.10,-122.71,False
directional_abs scaled cap10 top30 raw mom9-1,raw,momentum,,directional_abs,scaled,30,9-1,9,1,0.1,1.0,-9849.69%,,279.45%,,-1227.71%,58.06%,37.24%,-1409.25%,-97.50,-123.22,False
directional_abs equal top40 raw mom9-1,raw,momentum,,directional_abs,equal,40,9-1,9,1,,1.0,-2498.31%,,160.14%,,-675.12%,60.97%,32.76%,-801.78%,-23.98,-28.49,False
directional_abs scaled cap30 top40 raw mom9-1,raw,momentum,,directional_abs,scaled,40,9-1,9,1,0.3,1.0,-7862.23%,,227.97%,,-1116.36%,58.06%,33.60%,-1146.96%,-77.62,-96.30,False
directional_abs scaled cap25 top40 raw mom9-1,raw,momentum,,directional_abs,scaled,40,9-1,9,1,0.25,1.0,-7622.14%,,227.96%,,-1084.92%,58.06%,33.60%,-1146.96%,-75.22,-93.33,False
directional_abs scaled cap20 top40 raw mom9-1,raw,momentum,,directional_abs,scaled,40,9-1,9,1,0.2,1.0,-7392.48%,,227.95%,,-1054.92%,58.06%,33.60%,-1146.96%,-72.92,-90.48,False
directional_abs scaled cap15 top40 raw mom9-1,raw,momentum,,directional_abs,scaled,40,9-1,9,1,0.15,1.0,-7152.34%,,227.94%,,-1031.24%,58.06%,33.60%,-1146.96%,-70.52,-87.50,False
directional_abs scaled cap10 top40 raw mom9-1,raw,momentum,,directional_abs,scaled,40,9-1,9,1,0.1,1.0,-7079.64%,,227.92%,,-1024.84%,58.39%,33.60%,-1146.96%,-69.80,-86.59,False
long_only equal top10 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,equal,10,9-1,9,1,,1.0,13328.54%,20.89%,28.45%,0.734,-52.68%,60.97%,45.07%,-23.80%,134.29,0.98,True
long_only scaled cap30 top10 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,10,9-1,9,1,0.3,1.0,9797.87%,19.47%,29.26%,0.665,-50.69%,60.65%,36.94%,-22.21%,98.98,0.96,True
long_only scaled cap25 top10 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,10,9-1,9,1,0.25,1.0,10663.41%,19.85%,29.04%,0.684,-52.30%,60.32%,38.00%,-23.89%,107.63,0.96,True
long_only scaled cap20 top10 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,10,9-1,9,1,0.2,1.0,11000.85%,20.00%,29.02%,0.689,-54.50%,59.03%,40.53%,-26.04%,111.01,0.96,True
long_only scaled cap15 top10 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,10,9-1,9,1,0.15,1.0,11915.06%,20.37%,28.77%,0.708,-55.51%,59.68%,43.06%,-27.05%,120.15,0.96,True
long_only scaled cap10 top10 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,10,9-1,9,1,0.1,1.0,13328.54%,20.89%,28.45%,0.734,-52.68%,60.97%,45.07%,-23.80%,134.29,0.98,True
long_only equal top20 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,equal,20,9-1,9,1,,1.0,14417.53%,21.25%,26.57%,0.800,-51.52%,63.55%,44.36%,-23.10%,145.18,0.96,True
long_only scaled cap30 top20 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,20,9-1,9,1,0.3,1.0,10370.13%,19.73%,28.24%,0.699,-49.43%,61.61%,37.96%,-20.54%,104.70,0.97,True
long_only scaled cap25 top20 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,20,9-1,9,1,0.25,1.0,11051.84%,20.02%,28.02%,0.715,-50.89%,62.26%,38.43%,-21.73%,111.52,0.97,True
long_only scaled cap20 top20 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,20,9-1,9,1,0.2,1.0,11329.22%,20.13%,27.84%,0.723,-52.33%,61.61%,38.91%,-23.21%,114.29,0.97,True
long_only scaled cap15 top20 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,20,9-1,9,1,0.15,1.0,11875.87%,20.35%,27.61%,0.737,-53.59%,61.29%,39.68%,-24.57%,119.76,0.97,True
long_only scaled cap10 top20 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,20,9-1,9,1,0.1,1.0,12811.71%,20.70%,27.29%,0.758,-53.11%,60.65%,40.83%,-23.64%,129.12,0.97,True
long_only equal top25 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,equal,25,9-1,9,1,,1.0,13403.76%,20.91%,26.30%,0.795,-52.18%,61.61%,42.51%,-24.56%,135.04,0.96,True
long_only scaled cap30 top25 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,25,9-1,9,1,0.3,1.0,11194.50%,20.08%,27.75%,0.723,-48.68%,62.26%,38.26%,-21.02%,112.94,0.97,True
long_only scaled cap25 top25 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,25,9-1,9,1,0.25,1.0,11125.09%,20.05%,27.61%,0.726,-50.15%,62.26%,38.57%,-21.02%,112.25,0.97,True
long_only scaled cap20 top25 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,25,9-1,9,1,0.2,1.0,11543.19%,20.22%,27.45%,0.737,-51.55%,62.26%,39.05%,-22.26%,116.43,0.97,True
long_only scaled cap15 top25 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,25,9-1,9,1,0.15,1.0,11861.65%,20.35%,27.26%,0.746,-53.08%,61.94%,39.73%,-23.91%,119.62,0.97,True
long_only scaled cap10 top25 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,25,9-1,9,1,0.1,1.0,12931.74%,20.75%,27.02%,0.768,-53.15%,61.94%,40.71%,-23.64%,130.32,0.97,True
long_only equal top30 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,equal,30,9-1,9,1,,1.0,14011.88%,21.12%,26.18%,0.807,-54.78%,60.65%,40.88%,-27.24%,141.12,0.97,True
long_only scaled cap30 top30 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,30,9-1,9,1,0.3,1.0,11362.52%,20.15%,27.39%,0.736,-48.36%,61.94%,38.46%,-21.24%,114.63,0.97,True
long_only scaled cap25 top30 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,30,9-1,9,1,0.25,1.0,11291.64%,20.12%,27.29%,0.737,-49.83%,61.94%,38.52%,-21.24%,113.92,0.97,True
long_only scaled cap20 top30 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,30,9-1,9,1,0.2,1.0,11603.20%,20.24%,27.18%,0.745,-51.23%,62.26%,39.00%,-21.60%,117.03,0.97,True
long_only scaled cap15 top30 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,30,9-1,9,1,0.15,1.0,11648.63%,20.26%,27.02%,0.750,-52.66%,61.61%,39.56%,-23.05%,117.49,0.97,True
long_only scaled cap10 top30 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,30,9-1,9,1,0.1,1.0,13069.54%,20.79%,26.79%,0.776,-53.22%,62.26%,40.36%,-23.29%,131.70,0.97,True
long_only equal top40 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,equal,40,9-1,9,1,,1.0,11366.35%,20.15%,25.69%,0.784,-52.36%,59.68%,36.91%,-28.56%,114.66,0.95,True
long_only scaled cap30 top40 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,40,9-1,9,1,0.3,1.0,11657.51%,20.27%,26.79%,0.756,-47.66%,62.26%,38.62%,-22.80%,117.58,0.97,True
long_only scaled cap25 top40 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,40,9-1,9,1,0.25,1.0,11569.94%,20.23%,26.78%,0.755,-49.11%,62.26%,38.62%,-22.80%,116.70,0.97,True
long_only scaled cap20 top40 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,40,9-1,9,1,0.2,1.0,11556.75%,20.23%,26.71%,0.757,-50.53%,62.26%,38.80%,-22.80%,116.57,0.97,True
long_only scaled cap15 top40 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,40,9-1,9,1,0.15,1.0,11932.86%,20.37%,26.64%,0.765,-51.90%,62.26%,39.27%,-22.80%,120.33,0.97,True
long_only scaled cap10 top40 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,long_only,scaled,40,9-1,9,1,0.1,1.0,12315.65%,20.52%,26.46%,0.775,-53.13%,62.26%,39.94%,-23.71%,124.16,0.97,True
classic_long_short equal top10 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,equal,10,9-1,9,1,,1.0,60.62%,1.85%,15.65%,0.118,-28.73%,53.55%,15.67%,-27.40%,1.61,0.82,True
classic_long_short scaled cap30 top10 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,10,9-1,9,1,0.3,1.0,74.93%,2.19%,18.75%,0.117,-55.40%,55.16%,16.02%,-27.77%,1.75,0.70,True
classic_long_short scaled cap25 top10 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,10,9-1,9,1,0.25,1.0,67.60%,2.02%,18.40%,0.110,-52.85%,54.84%,15.18%,-27.77%,1.68,0.69,True
classic_long_short scaled cap20 top10 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,10,9-1,9,1,0.2,1.0,65.85%,1.98%,17.89%,0.111,-49.27%,55.81%,15.01%,-27.77%,1.66,0.71,True
classic_long_short scaled cap15 top10 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,10,9-1,9,1,0.15,1.0,74.64%,2.18%,17.32%,0.126,-41.94%,56.13%,14.84%,-27.77%,1.75,0.72,True
classic_long_short scaled cap10 top10 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,10,9-1,9,1,0.1,1.0,64.09%,1.94%,16.73%,0.116,-34.12%,55.16%,14.80%,-27.71%,1.64,0.75,True
classic_long_short equal top20 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,equal,20,9-1,9,1,,1.0,75.74%,2.21%,12.44%,0.177,-27.50%,54.52%,12.08%,-20.63%,1.76,0.93,True
classic_long_short scaled cap30 top20 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,20,9-1,9,1,0.3,1.0,80.55%,2.31%,16.21%,0.143,-46.18%,57.10%,14.22%,-24.99%,1.81,0.80,True
classic_long_short scaled cap25 top20 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,20,9-1,9,1,0.25,1.0,83.40%,2.38%,16.10%,0.148,-44.77%,56.77%,14.22%,-24.99%,1.83,0.80,True
classic_long_short scaled cap20 top20 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,20,9-1,9,1,0.2,1.0,79.54%,2.29%,15.92%,0.144,-44.03%,56.77%,14.22%,-24.99%,1.80,0.79,True
classic_long_short scaled cap15 top20 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,20,9-1,9,1,0.15,1.0,75.55%,2.20%,15.61%,0.141,-42.14%,57.10%,13.64%,-24.99%,1.76,0.79,True
classic_long_short scaled cap10 top20 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,20,9-1,9,1,0.1,1.0,81.34%,2.33%,15.12%,0.154,-35.85%,55.16%,12.95%,-24.99%,1.81,0.82,True
classic_long_short equal top25 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,equal,25,9-1,9,1,,1.0,81.35%,2.33%,11.51%,0.203,-23.90%,57.42%,10.89%,-20.03%,1.81,0.94,True
classic_long_short scaled cap30 top25 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,25,9-1,9,1,0.3,1.0,75.06%,2.19%,15.34%,0.143,-44.00%,56.77%,13.84%,-24.35%,1.75,0.83,True
classic_long_short scaled cap25 top25 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,25,9-1,9,1,0.25,1.0,78.98%,2.28%,15.23%,0.150,-42.21%,56.45%,13.84%,-24.35%,1.79,0.83,True
classic_long_short scaled cap20 top25 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,25,9-1,9,1,0.2,1.0,78.16%,2.26%,15.09%,0.150,-41.29%,56.13%,13.84%,-24.35%,1.78,0.83,True
classic_long_short scaled cap15 top25 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,25,9-1,9,1,0.15,1.0,75.57%,2.20%,14.86%,0.148,-40.30%,56.77%,13.60%,-24.35%,1.76,0.82,True
classic_long_short scaled cap10 top25 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,25,9-1,9,1,0.1,1.0,75.19%,2.19%,14.46%,0.152,-36.31%,54.84%,12.80%,-24.35%,1.75,0.84,True
classic_long_short equal top30 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,equal,30,9-1,9,1,,1.0,97.64%,2.67%,10.54%,0.254,-20.91%,56.45%,10.34%,-19.26%,1.98,0.96,True
classic_long_short scaled cap30 top30 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,30,9-1,9,1,0.3,1.0,69.21%,2.06%,14.60%,0.141,-43.43%,55.81%,13.73%,-23.54%,1.69,0.85,True
classic_long_short scaled cap25 top30 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,30,9-1,9,1,0.25,1.0,73.64%,2.16%,14.49%,0.149,-41.32%,56.13%,13.73%,-23.54%,1.74,0.85,True
classic_long_short scaled cap20 top30 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,30,9-1,9,1,0.2,1.0,74.90%,2.19%,14.37%,0.152,-40.05%,55.81%,13.73%,-23.54%,1.75,0.85,True
classic_long_short scaled cap15 top30 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,30,9-1,9,1,0.15,1.0,74.29%,2.17%,14.21%,0.153,-39.31%,55.81%,13.62%,-23.54%,1.74,0.86,True
classic_long_short scaled cap10 top30 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,30,9-1,9,1,0.1,1.0,72.92%,2.14%,13.86%,0.155,-36.79%,55.48%,12.68%,-23.54%,1.73,0.86,True
classic_long_short equal top40 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,equal,40,9-1,9,1,,1.0,-758.60%,,80.02%,,-508.49%,57.42%,8.37%,-404.25%,-6.59,-7.18,False
classic_long_short scaled cap30 top40 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,40,9-1,9,1,0.3,1.0,-296.74%,,39.59%,,-248.41%,54.52%,13.11%,-189.72%,-1.97,-2.29,False
classic_long_short scaled cap25 top40 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,40,9-1,9,1,0.25,1.0,-300.61%,,39.55%,,-249.09%,54.52%,13.11%,-189.72%,-2.01,-2.34,False
classic_long_short scaled cap20 top40 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,40,9-1,9,1,0.2,1.0,-300.66%,,39.50%,,-248.18%,54.19%,13.11%,-189.72%,-2.01,-2.34,False
classic_long_short scaled cap15 top40 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,40,9-1,9,1,0.15,1.0,-299.84%,,39.43%,,-246.14%,54.52%,13.11%,-189.72%,-2.00,-2.33,False
classic_long_short scaled cap10 top40 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,classic_long_short,scaled,40,9-1,9,1,0.1,1.0,-304.14%,,39.32%,,-240.66%,53.87%,12.25%,-189.72%,-2.04,-2.34,False
directional_abs equal top10 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,directional_abs,equal,10,9-1,9,1,,1.0,654.24%,8.14%,25.83%,0.315,-74.15%,58.71%,32.34%,-22.78%,7.54,0.88,True
directional_abs scaled cap30 top10 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,directional_abs,scaled,10,9-1,9,1,0.3,1.0,495.25%,7.15%,26.02%,0.275,-74.00%,59.03%,25.67%,-24.55%,5.95,0.91,True
directional_abs scaled cap25 top10 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,directional_abs,scaled,10,9-1,9,1,0.25,1.0,546.75%,7.49%,25.89%,0.289,-73.85%,59.03%,27.87%,-24.16%,6.47,0.91,True
directional_abs scaled cap20 top10 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,directional_abs,scaled,10,9-1,9,1,0.2,1.0,619.28%,7.94%,25.82%,0.307,-73.59%,59.68%,30.06%,-24.16%,7.19,0.90,True
directional_abs scaled cap15 top10 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,directional_abs,scaled,10,9-1,9,1,0.15,1.0,657.67%,8.15%,25.71%,0.317,-73.57%,60.00%,31.80%,-23.67%,7.58,0.89,True
directional_abs scaled cap10 top10 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,directional_abs,scaled,10,9-1,9,1,0.1,1.0,654.24%,8.14%,25.83%,0.315,-74.15%,58.71%,32.34%,-22.78%,7.54,0.88,True
directional_abs equal top20 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,directional_abs,equal,20,9-1,9,1,,1.0,442.01%,6.76%,24.56%,0.275,-65.49%,58.71%,30.08%,-23.45%,5.42,0.79,True
directional_abs scaled cap30 top20 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,directional_abs,scaled,20,9-1,9,1,0.3,1.0,395.77%,6.39%,24.78%,0.258,-68.92%,60.97%,22.82%,-24.91%,4.96,0.82,True
directional_abs scaled cap25 top20 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,directional_abs,scaled,20,9-1,9,1,0.25,1.0,429.84%,6.67%,24.75%,0.269,-68.43%,60.65%,24.82%,-24.91%,5.30,0.83,True
directional_abs scaled cap20 top20 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,directional_abs,scaled,20,9-1,9,1,0.2,1.0,460.38%,6.90%,24.68%,0.280,-68.02%,60.65%,26.81%,-24.91%,5.60,0.84,True
directional_abs scaled cap15 top20 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,directional_abs,scaled,20,9-1,9,1,0.15,1.0,510.81%,7.26%,24.61%,0.295,-67.63%,60.65%,28.80%,-24.91%,6.11,0.84,True
directional_abs scaled cap10 top20 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,directional_abs,scaled,20,9-1,9,1,0.1,1.0,519.61%,7.32%,24.53%,0.298,-65.51%,61.29%,30.40%,-24.52%,6.20,0.83,True
directional_abs equal top25 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,directional_abs,equal,25,9-1,9,1,,1.0,465.94%,6.94%,23.90%,0.290,-60.15%,60.32%,30.02%,-21.85%,5.66,0.79,True
directional_abs scaled cap30 top25 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,directional_abs,scaled,25,9-1,9,1,0.3,1.0,422.84%,6.61%,24.35%,0.272,-66.11%,59.68%,22.38%,-23.90%,5.23,0.81,True
directional_abs scaled cap25 top25 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,directional_abs,scaled,25,9-1,9,1,0.25,1.0,456.37%,6.87%,24.32%,0.282,-65.58%,59.68%,24.35%,-23.90%,5.56,0.82,True
directional_abs scaled cap20 top25 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,directional_abs,scaled,25,9-1,9,1,0.2,1.0,487.00%,7.09%,24.27%,0.292,-64.98%,59.35%,26.31%,-23.90%,5.87,0.83,True
directional_abs scaled cap15 top25 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,directional_abs,scaled,25,9-1,9,1,0.15,1.0,529.89%,7.38%,24.20%,0.305,-64.50%,59.03%,28.27%,-23.90%,6.30,0.84,True
directional_abs scaled cap10 top25 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,directional_abs,scaled,25,9-1,9,1,0.1,1.0,536.35%,7.43%,24.14%,0.308,-63.45%,60.00%,30.08%,-23.77%,6.36,0.83,True
directional_abs equal top30 voladj3 mom9-1,voladj3,volatility_adjusted,3.0,directional_abs,equal,30,9-1,9,1,,1.0,473.42%,6.99%,23.13%,0.302,-52.57%,58.71%,26.64%,-20.34%,5.73,0.83,True
