strategy_name,name,signal_type,lookback_months,skip_months,signal_family,strategy_type,top_n,weighting,max_weight,gross_exposure,volatility_lookback_months,fast_months,slow_months,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,final_value,valid_for_chart,beta_SPY,alpha_SPY,corr_SPY,info_ratio_SPY,beta_XLE,alpha_XLE,corr_XLE,info_ratio_XLE,beta_XLB,alpha_XLB,corr_XLB,info_ratio_XLB,beta_GLD,alpha_GLD,corr_GLD,info_ratio_GLD,beta_DBC,alpha_DBC,corr_DBC,info_ratio_DBC
raw_3-1 | long_only | equal | top10,raw_3-1,momentum,3.0,1,raw_momentum,long_only,10,equal,,1.0,,,,186.04472760089072,0.2197656818007283,0.33465553112392366,0.6566922144171842,-0.4733126420183421,0.5854430379746836,187.04472760089072,True,0.9641133339597506,0.16666161899031529,0.4348236329513004,0.5421449295619439,0.8126547316698336,0.16598718154377762,0.6084796633066627,0.5401918055561361,0.9806266743386437,0.15686952940673082,0.5874930441573756,0.5721052500426622,0.9037379709111935,0.14543641184899112,0.45874597437698583,0.4466358268417346,0.9283295073423028,0.1990770379647097,0.5120468975115838,0.6748612719315722
ema_6-12 | directional_abs | scaled cap15 | top20,ema_6-12,ema_crossover,,1,ema_crossover,directional_abs,20,scaled,0.15,1.0,,6.0,12.0,-2.262758809489985,,6.670177681552842,,-1.219511854395888,0.5772870662460567,-1.2627588094899849,False,-6.168301215785516,-0.6799778148401814,-0.14027956121787094,-0.20229949786280269,-5.751523854417604,-0.6115570351971557,-0.21658932162147995,-0.204000430584916,-3.9487639087793167,-0.8547905210069103,-0.11898324394246412,-0.20346261147707392,3.458262709187155,-1.9600077360591892,0.08071204602061313,-0.22883405039720525,-4.968115483432502,-1.5071467411115282,-0.12229107808619259,-0.2273609355197738
ema_6-12 | directional_abs | equal | top30,ema_6-12,ema_crossover,,1,ema_crossover,directional_abs,30,equal,,1.0,,6.0,12.0,-11.92822084887258,,2.1109055048253627,,-3.327158273530144,0.555205047318612,-10.92822084887258,False,-2.0837982410062375,-0.15778682677512335,-0.14974526644351496,-0.2093421834510993,-1.8230583556224123,-0.14819509552525695,-0.2169318383688827,-0.21405181425999045,-1.302863381258443,-0.22003630888050313,-0.12404867360455592,-0.21273418275500325,1.1435052815296052,-0.5955196645406116,0.08440928564439931,-0.24971557543220932,-1.6338448626685558,-0.4613578146853823,-0.12727707842844335,-0.23059556737864528
ema_6-12 | directional_abs | scaled cap25 | top30,ema_6-12,ema_crossover,,1,ema_crossover,directional_abs,30,scaled,0.25,1.0,,6.0,12.0,-10.084686384982183,,5.107909511042033,,-3.055291754665215,0.5678233438485805,-9.084686384982183,False,-4.740658243498144,-0.5092015928287358,-0.14078671684317914,-0.20442521519296916,-4.393297261877064,-0.45966588059284924,-0.21604236030767454,-0.20660040977933652,-3.023086280302121,-0.6447591700702608,-0.11895135319253843,-0.20592803437014792,2.6776793016597153,-1.4956177375361448,0.08161345599072171,-0.232111192198714,-3.804332134240594,-1.1508347609018976,-0.12229884151353625,-0.22805988791794884
ema_6-12 | directional_abs | scaled cap20 | top30,ema_6-12,ema_crossover,,1,ema_crossover,directional_abs,30,scaled,0.2,1.0,,6.0,12.0,-10.084686384982183,,5.107909511042033,,-3.055291754665215,0.5678233438485805,-9.084686384982183,False,-4.740658243498144,-0.5092015928287358,-0.14078671684317914,-0.20442521519296916,-4.393297261877064,-0.45966588059284924,-0.21604236030767454,-0.20660040977933652,-3.023086280302121,-0.6447591700702608,-0.11895135319253843,-0.20592803437014792,2.6776793016597153,-1.4956177375361448,0.08161345599072171,-0.232111192198714,-3.804332134240594,-1.1508347609018976,-0.12229884151353625,-0.22805988791794884
ema_6-12 | directional_abs | scaled cap15 | top30,ema_6-12,ema_crossover,,1,ema_crossover,directional_abs,30,scaled,0.15,1.0,,6.0,12.0,-10.15662474843349,,5.107916847992771,,-3.0552917546652143,0.5709779179810726,-9.15662474843349,False,-4.741463367781545,-0.5088159755367203,-0.14081042493588525,-0.20436438633032836,-4.393502428182785,-0.45933283921668044,-0.21605213911748095,-0.20654005259230715,-3.023682936707018,-0.6443880340814365,-0.11897465932833448,-0.20586720927629376,2.677385722855483,-1.4955340009207112,0.08160448077123472,-0.23210206532413177,-3.804724675333757,-1.1507664460848985,-0.12231141824388238,-0.2280505190781173
wma_6-12 | long_only | equal | top10,wma_6-12,wma_crossover,,1,wma_crossover,long_only,10,equal,,1.0,,6.0,12.0,568.2170124554669,0.281439650431754,0.34335534312888316,0.8196745909560864,-0.642501780032892,0.6091205211726385,569.2170124554669,True,1.0419970834456314,0.20595010200841035,0.45788963456366844,0.6880416091920758,0.887018472437758,0.21461395591902818,0.6482574283662047,0.7708324635640617,1.01648809033468,0.20387300508614017,0.5881622709851935,0.740221618182094,0.9098577040856477,0.16104953459964122,0.4651729347068639,0.5063423600288267,1.0239935244837886,0.21135618256753938,0.5760871409545562,0.7824397440563353
wma_6-12 | long_only | scaled cap25 | top10,wma_6-12,wma_crossover,,1,wma_crossover,long_only,10,scaled,0.25,1.0,,6.0,12.0,668.2393985171423,0.28957374458570584,0.3851362575723403,0.7518734964373357,-0.6668630989532316,0.6123778501628665,669.2393985171423,True,1.0797625339718218,0.22426903435115011,0.4230112982240616,0.664650140185621,0.9320607167615115,0.23188797572226352,0.6072792557606518,0.7332994852538584,1.0420205063467078,0.22327619140141586,0.5375273139729222,0.7005368697643534,0.996399157454683,0.15447022741585573,0.45732390401961176,0.4627011815029115,1.0219822591164738,0.2215443377792274,0.5126686720054621,0.6958823099245597
wma_6-12 | long_only | scaled cap20 | top10,wma_6-12,wma_crossover,,1,wma_crossover,long_only,10,scaled,0.2,1.0,,6.0,12.0,670.0640848707479,0.2897109993744269,0.37839565399483155,0.7656298277103997,-0.6642370049711085,0.6221498371335505,671.0640848707479,True,1.0765901128861846,0.22191288515544133,0.4292816912632659,0.6709181335460556,0.9247698690219432,0.22998923461103105,0.6132621753400921,0.7414805204226003,1.0389213703091322,0.22092681501266392,0.5454754605590247,0.7089876564760647,0.9813624679291449,0.15671368828988208,0.45837780478253093,0.4728034511885601,1.0199299674613904,0.22093498007731271,0.521262158342387,0.7110897061860705
wma_6-12 | long_only | scaled cap15 | top10,wma_6-12,wma_crossover,,1,wma_crossover,long_only,10,scaled,0.15,1.0,,6.0,12.0,668.0537132384014,0.2895597569946273,0.36586911382834586,0.7914299022531854,-0.6497205232478306,0.5993485342019544,669.0537132384014,True,1.0811565623233597,0.2164916526163172,0.44586251274479766,0.684878793670657,0.9153941481520066,0.22600380736579123,0.6278285068438091,0.7602009233355201,1.0431209155343248,0.21552263826514764,0.5664317421765177,0.7291667813123017,0.958589661568993,0.1618817852106048,0.45980939416092154,0.4940072023957417,1.0243844572006675,0.22131926401502752,0.5384497255087853,0.7424694496671483
wma_6-12 | long_only | equal | top20,wma_6-12,wma_crossover,,1,wma_crossover,long_only,20,equal,,1.0,,6.0,12.0,225.71692804711557,0.2361496032675361,0.2961630705074513,0.7973634351606127,-0.5945360920547877,0.5993485342019544,226.71692804711557,True,1.0085335323705373,0.15820567613981207,0.5138040905352984,0.6259440655359668,0.8424671657254414,0.16828442885212871,0.7138068766373403,0.7183623237358762,0.9606241185776266,0.15857614625036223,0.644408499609341,0.6819724076028466,0.801803644090817,0.13423053103805815,0.46658714417463987,0.4245682139600802,0.9633201200738806,0.17179632460155053,0.6175422472567506,0.7437296222390163
